doc_id,hgv_id,tm_id,ddb_hybrid,filename,title,summary,date_text,date_year_approx,provenance,language,genre,transcription_text,translation_text,has_translation
hermitage.apis.1,17686,17686,p.ross.georg;2;17,hermitage.apis.1,Deed of Surety for a Female Lessee,"An unknown person provides surety for a female lessee who is to pay the ""dioikeseos ekphorion"" until the 10th of the month of Hadrian.","29 August - 6 December, 140 A.D.",,Provenance unknown,grc,papyri; oath,,"I swear by (etc.) that she has paid(sic.; will pay) the set interest on the loan for the produce(?) until the tenth of the month of Hadrianus, in the present fourth year of Antoninus Caesar the lord, or else I myself will pay the royal bankers of the nome, or be held liable to the oath. Year 4 of the Emperor Caesar Titus Aelius Hadrianus Antoninus Augustus Pius.",True
hermitage.apis.10,20488,20488,p.ross.georg;4;2,hermitage.apis.10,Letter of Instruction for the Recovery of Fugitives,"Letter from the governor of Egypt, Kurrah b. Sharik, to the pagarch, Basilius, ordering (and stipulating procedures for) the recovery of fugitives","17 June, 710 A.D.",,kome Aphrodito,grc,papyri; letter; order,,"In the name of God. Kurrah ben Sharik, the governor, to Basilius, the pagarch of kome Aphrodito. We give thanks to God. And furthermore we have sent to the lower chora those who are assigned in your district to send back men of 20 years (of age) who have left it. Thus as soon as you receive the present order, send three men who know the topoi well to which they are fleeing. And place over them a trustworthy and capable man assigned to take (the fugitives) and record the number of those who are discovered and sent to you. Order their fellow villagers to give each one his keep for one month, since we are going to order that their wages be given to them, by God's will. But if there is anyone from your district who left in the preceding year and his fellow villagers know the place where he has been, write to us about him, making it clear to us whom he is with. We are going to send this one right away to you to repay him who is discovered harboring him a repayment that is going to do him harm, God willing. This was written on the twenty-third of Payni in the ninth indiction. Verso: [Kurrah ben Sharik the governor to Basilius the pagarch of kome Aphrodito]. On the fifth of the month of Epeiph of the ninth indiction, this was delivered by NN the messenger, concerning fugitives.",True
hermitage.apis.100,20495,20495,p.ross.georg;4;11,hermitage.apis.100,Order to Deliver Grain Tax of the 9th Indiction,"Letter (entagion) from the governor of Egypt, Kurrah b. Sharik, to the pagarch, Basilius, ordering delivery of the grain for the embole of the 9th indiction","13 June, 710 A.D.",,kome Aphrodito,grc,papyri; letter; order,,"...and do not let it become known to us that, as I've said, one single arura has been left without water in your district. For, in accordance with God's command, we are going to send an envoy of ours to learn how you have been getting on with this, and nothing is going to escape our notice. Strictly adhere to this advice, not giving rise to false accusation against you or scandal, but quickly send the yield that your district acquired on account of the store-houses of Babylon for the embole of the 9th indiction. For we are not going to allow you to lag behind by one single artab. Do not neglect what remains and do not encounter any danger. Written on the 19th of Payni in the 9th indiction.",True
hermitage.apis.101,17962,17962,p.ross.georg;3;36,hermitage.apis.101,Lease of Land,"Aurelius Psaeus acknowledges a five year lease of land from Apollos, son of Dioscorus.","7 October, 537 A.D.",,from kome Aphrodito,grc,Papyri; Lease,,"Following the consulship of the most illustrious Flavius Belisarius; Phaophi 10, first indiction. To the most admirable Apollos, son of Dioscorus, son of Psimanobet, syntelestes from the village of Aphrodito in the Antaeopolite nome, from Aurelius Psaeus, son of Phunsius, son of Salatocus, from the same village in the same nome. Greetings. I acknowledge willingly and of my own choice to have leased from your virtuousness for a period of five years, counting inclusively from the crops, God willing, of the coming second indiction, the unirrigated aruras which belong to you and are called ""the aruras of Casillas,"" on the farm of Thinestme, to the west of the road and to the north my own aruras, on condition that I provide for the land which I will be able to cultivate, whether inundated or uninundated, for each arura in accordance with a survey by the schoinion, 2 artabs wheat by your tax measure and without dispute. The lease is authoritative and firm, and having been questioned, I agreed. I the above-mentioned Aurelius Psaeus, son of Phunsius, have drawn up the lease in the way set out above. I, Flavius Theotecnus, son of Psaeus, the former praepositus have written for him who does not know letters. Through me, Cyrus the notary, this has been written according to the will of god. (Verso) Lease of Psaeus, the aruras of Casillas.",True
hermitage.apis.102,17963,17963,p.ross.georg;3;37,hermitage.apis.102,Acknowledgement of Debt,Aurelius Psaeus acknowledges to Count Ammonius a debt of 1/3 solidus for barley that was purchased on Psaeus's behalf,"28 Oct. - 26 Nov., 545 A.D.",,from kome Aphrodito,grc,Papyri; Loan,,"Following the consulship of the most illustrious Flavius Basileius, Hathyr ?, in the ninth indiction. To Flavius Ammonius the most magnificent count of the sacred council, son of Theodosius of splendid memory, through the most respected administrator Apollos, son of Dioscorus, from Aurelius Psaeus, son of Horus and mother Tatas, a farmer from the bounded plain of Phthla in the Antaeopolite nome. Greetings. I acknowledge that for the price of barley which was purchased for me by you I owe you and am, without dispute, indebted one third solidus, which totals 1/3 (solidus) of gold, and I will repay this to you in the month of Mecheir during the present ninth indiction, without deceit and at my own risk and expense. And having been questioned, I agreed. (H. 2) Aurelius Psaeus, son of Horus, the afore-mentioned: it meets my agreement, as it is laid out above. I, Apollos son of Komasius, having been asked I wrote for him because he is illiterate. I, Aurelius NN, am witness to the debt having heard from the executing party. I, Aurelius Johannes, son of Cornelius, am witness to the debt, having heard from the executing party. It was written by me, Cyrus the notar (nomikos).",True
hermitage.apis.103,2535,2535,sb;18;13214,hermitage.apis.103,Storage Account,"List of names, each followed by numbers of keramia",IIIrd - Ist B.C.,-150.0,From Thebes,grc,Ostraca; Account,,"Contribution from the storehouse: Paemis, son of Pasemis, [? keramia]; Pebos, the Latopolite? [? keramia]; Psentamous ? keramia; Paemis, son of Psamsos, 1 keramion; Pseke 5 keramia; Panameus 6 keramia; Sanmaus 4 keramia; Inaraus(?) [? keramia]....",True
hermitage.apis.104,2534,2534,sb;18;13212,hermitage.apis.104,Private Letter,Brief letter asking for the provision of hay?,IIIrd - Ist B.C.,-150.0,From Syene,grc,Ostraca; Letter; Order for Delivery,,"Sarapion to Memnon, son of Psenstele, greetings. Give the .... Year 19, Mesore 13",True
hermitage.apis.105,18326,18326,sb;18;13188,hermitage.apis.105,Poll-Tax Receipt,"Plenis acknowledges to Nichomachus the laographus the receipt from Phaminis of 1 drachma, 2 1/2 obols and 2 chalci on account of the poll-tax.","10 October, 172(?) A.D.",,From Hermonthis,grc,Ostraca; Taxation; Receipt,,"To Nichomachus the laographus, from Plenis the elder, son of Apollonides, an assistant. I have received as an additional payment for the poll-tax of year 12 for the northeast quarter in the name of Phaminis, son of Phaminis son of Petosorbouchis, 1 drachma, 2 1/2 obols and 2 chalci. The total is 1 drachma, 2 1/2 obols and 2 chalci, as set out above. Year 13, the 13th of Phaophi.",True
hermitage.apis.106,12897,12897,p.ross.georg;5;17,hermitage.apis.106,Contract of Sale,Remains of the date clause and beginning of a contract of sale,"25 Feb. - 26 March, 211 A.D.",,Ptolemais Euergetis,grc,Papyri; Contract; Sale,,,False
hermitage.apis.107,18284,18284,sb;18;13202,hermitage.apis.107,Tax Receipt,Record of receipt of 3 1/2 obols in the 17th year of Trajan,"18 March, 114 A.D.",,From Apollonopolis,grc,Ostraca; Taxation,,"Pakteutes, son of Pechoites son of Gorsenouphis, for the merismos of the 17th year of lord Trajan, 3 1/2 obols. Year 17, Phamenoth 22.",True
